Date,AAPL.US Close,MSFT.US Close,ADBE.US Close,AMZN.US Close,PEP.US Close,AAPL.US High,MSFT.US High,ADBE.US High,AMZN.US High,PEP.US High,AAPL.US Low,MSFT.US Low,ADBE.US Low,AMZN.US Low,PEP.US Low,AAPL.US Open,MSFT.US Open,ADBE.US Open,AMZN.US Open,PEP.US Open,AAPL.US Volume,MSFT.US Volume,ADBE.US Volume,AMZN.US Volume,PEP.US Volume
2024-12-04,241.915,437.42,536.49,218.16,160.18,243.011,439.67,541.77,220.0,161.0327,240.163,432.63,521.005,215.75,159.41,241.776,433.03,523.02,215.96,160.6,44584672.0,26009429.0,3307041.0,48745716.0,6964605.0
2024-12-05,241.945,442.62,538.22,220.55,160.49,243.438,444.66,540.11,222.15,161.01,241.039,436.171,529.79,217.3,158.83,242.892,437.92,534.42,218.03,160.93,40214941.0,21697775.0,2629119.0,41140220.0,5229646.0
2024-12-06,241.746,443.57,552.96,227.03,157.79,243.528,446.1,554.37,227.15,160.8,240.989,441.7703,542.9,220.6,157.69,241.811,442.3,544.15,220.75,159.35,37037375.0,18821002.0,2964064.0,44178069.0,8359166.0
2024-12-09,245.639,446.02,547.93,226.09,159.47,246.126,448.33,557.8999,230.08,161.5,240.662,440.5,546.1101,225.67,157.14,240.742,442.6,556.1,227.21,157.91,44851168.0,19144388.0,3588653.0,46819363.0,8380406.0
2024-12-10,246.655,443.33,547.05,225.04,159.84,247.091,449.62,552.83,229.06,160.42,244.236,441.6,544.22,224.2002,157.35,245.779,444.39,547.35,226.09,159.0,37081762.0,18469459.0,2762875.0,31199864.0,5329401.0
2024-12-11,245.38,448.99,549.93,230.26,156.77,249.671,450.35,552.3,231.2,160.515,245.152,444.05,541.74,226.26,156.26,246.845,444.05,547.05,226.41,160.21,45410268.0,19200208.0,6690565.0,35385785.0,7925928.0
2024-12-12,246.845,449.56,474.63,228.97,158.9,247.621,456.1648,494.0,231.09,159.4,244.574,449.11,470.9001,227.63,157.97,245.779,449.11,487.5,229.83,159.09,32925776.0,20834779.0,17344864.0,28204084.0,6849507.0
2024-12-13,247.012,447.27,465.69,227.46,157.97,248.167,451.43,474.91,230.2,159.57,245.132,445.58,456.8,225.8608,157.06,246.7,448.435,473.98,228.4,157.53,33305242.0,20177833.0,11395512.0,28768080.0,4353854.0
2024-12-16,249.91,451.59,461.53,232.93,156.02,250.248,452.18,473.62,233.0,158.82,246.535,445.28,461.2,228.01,155.88,246.875,447.27,467.19,230.23,157.85,51928555.0,23598834.0,5807021.0,37552096.0,6696490.0
2024-12-17,252.338,454.46,455.23,231.15,156.14,252.687,455.29,465.856,232.73,158.5,248.656,449.57,452.48,227.85,155.24,248.954,451.01,460.59,232.39,155.74,51588632.0,22733494.0,7514489.0,35948131.0,6572560.0
2024-12-18,246.934,437.39,441.31,220.52,154.43,253.135,452.65,455.25,231.3999,155.83,246.625,437.02,441.1,220.11,154.11,251.025,451.32,453.24,230.77,155.03,57030876.0,24444545.0,6511105.0,43281443.0,7620865.0
2024-12-19,248.666,437.03,437.39,223.29,151.47,250.865,443.1834,449.0,226.09,154.0794,245.984,436.32,437.11,222.92,151.41,246.385,441.62,443.41,224.91,153.09,61157618.0,22963681.0,6479517.0,39918739.0,9829489.0
